Date,Open,High,Low,Close,Adj Close,Volume
2018-05-04,69.9000015258789,69.9000015258789,69.9000015258789,69.9000015258789,68.40521240234375,0
2018-05-07,69.9000015258789,69.9000015258789,69.9000015258789,69.9000015258789,68.40521240234375,0
2018-05-08,69.9000015258789,69.9000015258789,69.9000015258789,69.9000015258789,68.40521240234375,0
2018-05-09,69.9000015258789,69.9000015258789,69.9000015258789,69.9000015258789,68.40521240234375,0
2018-05-10,69.9000015258789,69.9000015258789,69.9000015258789,69.9000015258789,68.40521240234375,0
2018-05-11,69.9000015258789,69.9000015258789,69.9000015258789,69.9000015258789,68.40521240234375,0
2018-05-14,69.9000015258789,69.9000015258789,69.9000015258789,69.9000015258789,68.40521240234375,0
2018-05-15,69.9000015258789,69.9000015258789,69.9000015258789,69.9000015258789,68.40521240234375,0
2018-05-16,66.5,66.5,66.5,66.5,65.07791900634766,3200
2018-05-17,63.17499923706055,65.0,63.17499923706055,65.0,63.6099853515625,6400
2018-05-18,65.0,65.0,65.0,65.0,63.6099853515625,0
2018-05-21,65.0,65.0,65.0,65.0,63.6099853515625,0
2018-05-22,68.1500015258789,68.17500305175781,68.125,68.125,66.66816711425781,9600
2018-05-23,68.125,68.125,68.125,68.125,66.66816711425781,0
2018-05-24,68.125,68.125,68.125,68.125,66.66816711425781,0
2018-05-25,67.5,67.5,67.5,67.5,66.05653381347656,6400
2018-05-28,67.5,67.5,67.5,67.5,66.05653381347656,0
2018-05-29,64.5250015258789,64.5250015258789,64.5,64.5,63.120689392089844,44800
2018-05-30,67.5250015258789,67.5250015258789,67.4749984741211,67.5,66.05653381347656,9600
2018-05-31,67.5,67.5,67.5,67.5,66.05653381347656,0
2018-06-01,64.5,65.25,64.5,65.25,63.854652404785156,64000
2018-06-04,65.25,65.25,65.25,65.25,63.854652404785156,0
2018-06-05,62.25,62.25,62.0,62.0,60.67414474487305,6400
2018-06-06,62.0,62.0,62.0,62.0,60.67414474487305,0
2018-06-07,62.0,62.0,62.0,62.0,60.67414474487305,0
2018-06-08,64.94999694824219,64.94999694824219,62.5,62.5,61.163455963134766,22400
2018-06-11,62.5,62.5,62.5,62.5,61.163455963134766,0
2018-06-12,62.5,62.5,62.5,62.5,61.163455963134766,0
2018-06-13,62.5,62.5,62.5,62.5,61.163455963134766,0
2018-06-14,62.5,62.5,62.5,62.5,61.163455963134766,0
2018-06-15,62.5,62.5,62.5,62.5,61.163455963134766,0
2018-06-18,62.5,62.5,62.5,62.5,61.163455963134766,0
2018-06-19,62.5,62.5,62.5,62.5,61.163455963134766,0
2018-06-20,62.5,62.5,62.5,62.5,61.163455963134766,0
2018-06-21,62.5,62.5,62.5,62.5,61.163455963134766,0
2018-06-22,62.5,62.5,62.5,62.5,61.163455963134766,0
2018-06-25,62.5,62.5,62.5,62.5,61.163455963134766,0
2018-06-26,62.5,62.5,62.5,62.5,61.163455963134766,0
2018-06-27,62.5,62.5,62.5,62.5,61.163455963134766,0
2018-06-28,62.5,62.5,62.5,62.5,61.163455963134766,0
2018-06-29,62.5,62.5,62.5,62.5,61.163455963134766,0
2018-07-02,62.5,62.5,62.5,62.5,61.163455963134766,0
2018-07-03,62.5,62.5,62.5,62.5,61.163455963134766,0
2018-07-04,62.5,62.5,62.5,62.5,61.163455963134766,0
2018-07-05,62.5,62.5,62.5,62.5,61.163455963134766,0
2018-07-06,62.5,62.5,62.5,62.5,61.163455963134766,0
2018-07-09,62.5,62.5,62.5,62.5,61.163455963134766,0
2018-07-10,62.5,62.5,62.5,62.5,61.163455963134766,0
2018-07-11,62.5,62.5,62.5,62.5,61.163455963134766,0
2018-07-12,64.5,64.5,62.5,62.5,61.163455963134766,19200
2018-07-13,62.5,62.5,62.5,62.5,61.163455963134766,0
2018-07-16,62.5,62.5,62.5,62.5,61.163455963134766,0
2018-07-17,62.5,62.5,62.5,62.5,61.163455963134766,0
2018-07-18,62.5,62.5,62.5,62.5,61.163455963134766,0
2018-07-19,62.5,62.5,62.5,62.5,61.163455963134766,0
